Source,Section,Key,English,Chinese,Review Notes
translations.ts,App Name,app.name,LuminFlow,明鉴,
translations.ts,App Name,app.brand,LuminFlow,明鉴,
translations.ts,Navigation,nav.dashboard,Dashboard,门户首页,
translations.ts,Navigation,nav.tracemap,TraceMap,TraceMap 审计进程全链路图,
translations.ts,Navigation,nav.heatlens,HeatLens,HeatLens 审计风险热力图,
translations.ts,Navigation,nav.sampling,SampleLens,SampleLens 智能抽样预览,
translations.ts,Navigation,nav.pbcview,PBCView,PBCView PBC透视全景图,
translations.ts,Navigation,nav.narrative,NarrativeLens,NarrativeLens 审计叙事生成器,
translations.ts,Navigation,nav.impact,ImpactSimulator,ImpactSimulator 影响模拟器,
translations.ts,Navigation,nav.team,TeamPanel,TeamPanel 团队管理,
translations.ts,Navigation,nav.objective,Audit Objectives,审计目标,
translations.ts,Navigation Sections,nav.section.portal,Portal,门户,
translations.ts,Navigation Sections,nav.section.planning,"Phase 1: Planning",第一阶段：审计计划,
translations.ts,Navigation Sections,nav.section.execution,"Phase 2: Execution",第二阶段：审计实施,
translations.ts,Navigation Sections,nav.section.deficiency,"Phase 3: Deficiency Evaluation",第三阶段：缺陷评价,
translations.ts,Navigation Sections,nav.section.tools,Tools,独立工具,
translations.ts,Navigation Sections,nav.new,NEW,新,
translations.ts,Roles,role.cfo,"CFO (Client Management)",CFO (客户管理层),
translations.ts,Roles,role.auditor,Audit Manager,审计经理,
translations.ts,Roles,role.partner,"Partner (QC)",合伙人 (QC),
translations.ts,Roles,role.financeClerk,Finance Clerk,财务部经办人,
translations.ts,Roles,role.financeManager,Finance Manager,财务部负责人,
translations.ts,Roles,role.switch,Switch Role,切换角色,
translations.ts,Roles,role.groupAudit,Audit Team,审计团队,
translations.ts,Roles,role.groupClient,Client Side,客户方,
translations.ts,Permissions,permission.noAccess,Access Denied,无访问权限,
translations.ts,Permissions,permission.noAccessDesc,"You do not have permission to access this page. Please contact your administrator.",您没有权限访问此页面，请联系管理员。,
translations.ts,Dashboard Welcome,dashboard.welcome.financeClerk,"{name}, here is your PBC progress summary","{name}，以下是您的PBC进度概览",
translations.ts,Dashboard Welcome,dashboard.welcome.financeManager,"{name}, here is your department audit overview","{name}，以下是您的部门审计概览",
translations.ts,TopBar,topbar.aiAssistant,AI Assistant,AI 助手,
translations.ts,Notifications,notification.title,Notifications,通知,
translations.ts,Notifications,notification.markAllRead,Mark all read,全部已读,
translations.ts,Notifications,notification.minutesAgo,"{n} min ago",{n}分钟前,
translations.ts,Notifications,notification.hoursAgo,"{n} hr ago",{n}小时前,
translations.ts,Notifications,notification.daysAgo,"{n} days ago",{n}天前,
translations.ts,Notifications,notification.pbc_overdue,PBC Material Overdue,PBC 材料逾期,
translations.ts,Notifications,notification.new_finding,New Finding,新缺陷发现,
translations.ts,Notifications,notification.simulation_complete,Simulation Complete,影响模拟完成,
translations.ts,Notifications,notification.ai_approval,AI Content Pending Approval,AI 内容待审批,
translations.ts,Notifications,notification.desc.1,"Bank statement (March) is 3 days overdue",银行对账单（3月）已逾期3天未提交,
translations.ts,Notifications,notification.desc.2,"Abnormal fluctuations found in accounts receivable",应收账款科目发现异常波动，需进一步审查,
translations.ts,Notifications,notification.desc.3,Revenue recognition control failure simulation completed,收入确认控制失效模拟已完成，结果可查看,
translations.ts,Notifications,notification.desc.4,"Sampling logic explanation draft generated, pending partner approval",抽样逻辑说明草稿已生成，等待合伙人审批,
translations.ts,Notifications,notification.desc.5,"Fixed asset register (Q1) is 5 days overdue",固定资产台账（Q1）逾期5天,
translations.ts,Notifications,notification.desc.6,"Insufficient segregation of duties found in procurement approval",采购审批流程中发现职责分离不足,
translations.ts,Notifications,notification.desc.7,Inventory valuation error impact simulation report generated,库存计价错误影响模拟已输出报告,
translations.ts,Sidebar,sidebar.projectName,FY2025 Annual Audit,FY2025 年度审计,
translations.ts,Sidebar,sidebar.companyName,"ABC Technology Co., Ltd.",ABC科技有限公司,
translations.ts,Sidebar,sidebar.collapse,Collapse Sidebar,收起侧栏,
translations.ts,Dashboard,dashboard.title,Audit Portal,审计门户,
translations.ts,Dashboard,dashboard.welcome.cfo,"{name}, here is your audit project KPI overview","{name}，以下是您的审计项目关键指标概览",
translations.ts,Dashboard,dashboard.welcome.auditor,"{name}, audit execution progress overview","{name}，审计执行进展一览",
translations.ts,Dashboard,dashboard.welcome.partner,"{name}, quality control & review overview","{name}，质量控制与复核概览",
translations.ts,Dashboard,dashboard.welcome.default,"Welcome back, {name}",欢迎回来，{name},
translations.ts,Dashboard,dashboard.config,Configure,配置,
translations.ts,Dashboard,dashboard.recentActivity,Recent Activity,最近活动,
translations.ts,Dashboard,dashboard.auditPhaseProgress,Audit Phase Progress,审计阶段进度,
translations.ts,Dashboard,dashboard.projectOverview,Project Overview,项目概览,
translations.ts,Dashboard,dashboard.pendingItems,Pending Items,待处理事项,
translations.ts,Dashboard,dashboard.riskHeatmap,Risk Control Heatmap,风险控制热力图,
translations.ts,Dashboard,dashboard.controlDistribution,Control Effectiveness Distribution,控制有效性分布,
translations.ts,Dashboard,dashboard.effectiveControls,Effective Controls,有效控制,
translations.ts,Dashboard,dashboard.target,Target,目标,
translations.ts,Dashboard,dashboard.planning,Planning,审计计划,
translations.ts,Dashboard,dashboard.execution,Execution,审计实施,
translations.ts,Dashboard,dashboard.reporting,Deficiency Evaluation,缺陷评价,
translations.ts,Dashboard,dashboard.viewFullHeatmap,View Full Heatmap →,查看完整热力图 →,
translations.ts,Dashboard,dashboard.viewPBCDetails,View PBC Details →,查看 PBC 详情 →,
translations.ts,Dashboard,dashboard.overdue,Overdue,逾期,
translations.ts,Dashboard,dashboard.dueSoon,Due Soon,即将到期,
translations.ts,Dashboard,dashboard.completed,Completed,已完成,
translations.ts,Dashboard,dashboard.effective,Effective,有效,
translations.ts,Dashboard,dashboard.partiallyEffective,Partially Effective,部分有效,
translations.ts,Dashboard,dashboard.pendingTest,Pending Test,待测试,
translations.ts,Dashboard,dashboard.ineffective,Ineffective,无效,
translations.ts,Dashboard,dashboard.projectTitle,National Commercial Bank 2025H1 Personal Loan ICFR Audit,某全国性商业银行 2025H1 个贷 ICFR 审计,
translations.ts,Dashboard,dashboard.auditCycle,"Audit Cycle: 2025.01 - 2025.06",审计周期：2025.01 - 2025.06,
translations.ts,Dashboard,dashboard.teamInfo,"Lead: Wang Qiang | Team Size: 8",负责人：王强 | 团队规模：8人,
translations.ts,Dashboard,dashboard.viewDetails,View Details,查看详情,
translations.ts,Objective Page,objective.title,TraceMap Audit Process Map,TraceMap 审计进程全链路图,
translations.ts,Objective Page,objective.search,Search nodes...,搜索节点...,
translations.ts,Objective Page,objective.loading,Loading audit tree...,加载审计树...,
translations.ts,Objective Page,objective.noData,No data,无数据,
translations.ts,Objective Page,objective.aiInsight,AI Insights,AI 洞察,
translations.ts,Objective Page,objective.insight1,"Income verification control (CTRL-002) deviation rate 20% is significantly higher than industry average 5%. Recommend immediate root cause analysis and expanding sampling to 40 items.",收入证明审核控制(CTRL-002)偏差率20%显著高于行业均值5%，建议立即启动根因分析并扩大抽样至40笔。,
translations.ts,Objective Page,objective.insight2,"Post-loan management monitoring domain shows positive effectiveness trend, but collateral revaluation timeliness issues may expose risks concentrated in Q4.",贷后管理监控域整体有效性趋势向好，但抵押物重估时效性问题可能在Q4集中暴露风险。,
translations.ts,Objective Page,objective.insight3,"Based on historical data patterns, credit inquiry authorization deviation shows 87% correlation with specific branch operational processes. Recommend targeted on-site inspection.",基于历史数据模式，征信查询授权偏差与特定分行操作流程相关度高达87%，建议针对性现场检查。,
translations.ts,Objective Page,objective.cosoAssessment,COSO Effectiveness Assessment,COSO 有效性评估,
translations.ts,Objective Page,objective.good,Good,良好,
translations.ts,Objective Page,objective.currentPeriod,Current Period,当前期,
translations.ts,Objective Page,objective.priorPeriod,Prior Period,上期,
translations.ts,Objective Page,objective.industryBenchmark,Industry Benchmark,行业基准,
translations.ts,Objective Page,objective.controlEnvironment,Control Environment,控制环境,
translations.ts,Objective Page,objective.riskAssessment,Risk Assessment,风险评估,
translations.ts,Objective Page,objective.controlActivities,Control Activities,控制活动,
translations.ts,Objective Page,objective.infoCommunication,Info & Communication,信息沟通,
translations.ts,Objective Page,objective.monitoring,Monitoring Activities,监督活动,
translations.ts,Objective Page,objective.dualProgress,Dual-Track Progress Tracking,双轨进度追踪,
translations.ts,Objective Page,objective.auditProgress,Audit Side Progress,审计方进度,
translations.ts,Objective Page,objective.clientPBCProgress,Client PBC Progress,客户方 PBC 进度,
translations.ts,Objective Page,objective.progressGap,Progress Gap,进度差距,
translations.ts,Objective Page,objective.behind,behind,落后,
translations.ts,Objective Page,objective.findings,Audit Findings,审计发现,
translations.ts,Objective Page,objective.id,ID,编号,
translations.ts,Objective Page,objective.findingTitle,Title,标题,
translations.ts,Objective Page,objective.severity,Severity,严重度,
translations.ts,Objective Page,objective.findingStatus,Status,状态,
translations.ts,Objective Page,objective.controlPoint,Control,控制点,
translations.ts,Objective Page,objective.deviationRate,Deviation %,偏差率,
translations.ts,Objective Page,objective.noFindings,No findings data,暂无发现数据,
translations.ts,Objective Page,objective.totalItems,Total,共,
translations.ts,Objective Page,objective.totalItemsSuffix,items,条,
translations.ts,Objective Page,objective.high,High,高,
translations.ts,Objective Page,objective.medium,Medium,中,
translations.ts,Objective Page,objective.low,Low,低,
translations.ts,Objective Page,objective.openStatus,Open,待整改,
translations.ts,Objective Page,objective.remediated,Remediated,已整改,
translations.ts,Objective Page,objective.accepted,Accepted,已接受,
translations.ts,Objective Page,objective.nodeCompleted,Completed,已完成,
translations.ts,Objective Page,objective.nodeInProgress,In Progress,进行中,
translations.ts,Objective Page,objective.nodePending,Not Started,未开始,
translations.ts,Objective Page,objective.nodeDeficiency,Deficiency,存在缺陷,
translations.ts,Objective Page,objective.nodeDelayed,Delayed,延迟,
translations.ts,Objective Page,objective.levelRoot,Audit Objective,审计目标,
translations.ts,Objective Page,objective.levelRiskArea,Risk Area,风险域,
translations.ts,Objective Page,objective.levelControl,Control Point,控制点,
translations.ts,Objective Page,objective.levelFinding,Finding/Test,发现/测试,
translations.ts,Objective Page,objective.basicInfo,Basic Information,基本信息,
translations.ts,Objective Page,objective.nodeId,Node ID,节点编号,
translations.ts,Objective Page,objective.completion,Completion,完成度,
translations.ts,Objective Page,objective.level,Level,层级,
translations.ts,Objective Page,objective.cosoMapping,COSO Mapping,COSO 映射,
translations.ts,Objective Page,objective.detailedMetrics,Detailed Metrics,详细指标,
translations.ts,Objective Page,objective.relatedNodes,Related Nodes,关联节点,
translations.ts,Objective Page,objective.aiSuggestion,AI Suggestions,AI 建议,
translations.ts,Objective Page,objective.aiDeficiency,"Recommend prioritizing deviation remediation for this node. Current deviation rate may affect overall audit conclusions. Consider expanding sampling scope to verify deviation prevalence.",建议优先关注该节点的偏差整改，当前偏差率可能影响整体审计结论。考虑扩大抽样范围以验证偏差的普遍性。,
translations.ts,Objective Page,objective.aiDelayed,"This node has delay risk. Recommend coordinating resources to accelerate progress, or confirming PBC delivery timeline with the client.",该节点存在延迟风险，建议协调资源加速推进，或与客户方确认PBC交付时间表。,
translations.ts,Objective Page,objective.aiNormal,"Current node status is normal. Recommend proceeding with subsequent testing as planned.",当前节点状态正常，建议按计划推进后续测试工作。,
translations.ts,Sampling Page,sampling.title,SampleLens Smart Sampling Preview,SampleLens 智能抽样预览,
translations.ts,Sampling Page,sampling.subtitle,AI-driven Smart Sampling Recommendations,AI 驱动的智能抽样推荐,
translations.ts,Impact Page,impact.title,ImpactSimulator AI Impact Simulator,ImpactSimulator 影响模拟器,
translations.ts,Impact Page,impact.subtitle,Change Event Cascading Impact Analysis,变更事件级联影响分析,
translations.ts,Team Page,team.title,Audit Team Management,审计团队管理,
translations.ts,Team Page,team.visibility,Visibility Management,可见性管理,
translations.ts,Team Page,team.approval,AI Approval,AI 审批,
translations.ts,Team Page,team.interaction,Client Interaction,客户互动,
translations.ts,Team Page,team.evidence,Evidence Management,证据管理,
translations.ts,Team Page,team.feedbackTitle,Monitoring Feedback Loop Suggestions,监控反馈闭环建议,
translations.ts,Team Page,team.feedbackContent,"It is recommended to establish a complete feedback loop of ""Publish → Client View → Feedback → Adjust"". Current data shows that clients have a 67% feedback rate within 24 hours after viewing reports. It is suggested to set a 48-hour reminder after publishing key reports to ensure clients confirm audit findings and provide necessary supplementary materials in a timely manner.",建议建立"发布→客户查看→反馈→调整"的完整闭环机制。当前数据显示客户在查看报告后24小时内反馈率为67%，建议在关键报告发布后设置48小时提醒，确保客户及时确认审计发现并提供必要补充材料。,
translations.ts,AI Chat,ai.title,AI Audit Assistant,AI 审计助手,
translations.ts,AI Chat,ai.clear,Clear conversation,清空对话,
translations.ts,AI Chat,ai.welcome,"Hello! I am the AI Audit Assistant",您好！我是 AI 审计助手,
translations.ts,AI Chat,ai.welcomeHint,Feel free to ask any audit-related questions,有任何审计相关问题，请随时提问,
translations.ts,AI Chat,ai.placeholder,"Ask a question... (Shift+Enter for new line)",输入问题... (Shift+Enter 换行),
translations.ts,AI Chat,ai.openLabel,Open AI Assistant,打开 AI 助手,
translations.ts,Language,lang.switch,Language,语言,
translations.ts,Language,lang.en,EN,EN,
translations.ts,Language,lang.zh,中,中,
translations.ts,HeatLens Page,heatlens.title,HeatLens Risk Heatmap,HeatLens 审计风险热力图,
translations.ts,HeatLens Page,heatlens.subtitle,"Multi-dimensional risk scoring and visualization based on historical deficiencies, process changes, system upgrades, regulatory rules, and enforcement actions",基于历史缺陷、流程变更、系统升级、监管法规、监管处罚等多维度信息，对控制点风险进行智能评分和可视化,
translations.ts,HeatLens Page,heatlens.factor.historicalDeficiency,Historical Deficiency,历史缺陷,
translations.ts,HeatLens Page,heatlens.factor.processChange,Process Change,流程变更,
translations.ts,HeatLens Page,heatlens.factor.systemUpgrade,System Upgrade,系统升级,
translations.ts,HeatLens Page,heatlens.factor.regulatoryRule,Regulatory Rule,监管法规,
translations.ts,HeatLens Page,heatlens.factor.regulatoryPenalty,Regulatory Penalty,监管处罚,
translations.ts,HeatLens Page,heatlens.weight,Weight,权重,
translations.ts,HeatLens Page,heatlens.score,Score,评分,
translations.ts,HeatLens Page,heatlens.aiRecalculate,AI Recalculate Scores,AI 重算评分,
translations.ts,HeatLens Page,heatlens.factorBreakdown,Factor Breakdown,因子分解分析,
translations.ts,HeatLens Page,heatlens.top5ByFactor,Top 5 by {factor},{factor} 影响 Top 5,
translations.ts,PBCView Page,pbcview.title,PBCView PBC Panorama,PBCView PBC透视全景图,
translations.ts,PBCView Page,pbcview.subtitle,"Auto-generated PBC list | Progress Tracking | Overdue Alerts | Reminder Emails",智能生成 PBC 清单 | 进度追踪 | 逾期提醒 | 催办邮件,
translations.ts,PBCView Page,pbcview.totalPBC,Total PBC,总 PBC 数,
translations.ts,PBCView Page,pbcview.submitted,Submitted,已提交,
translations.ts,PBCView Page,pbcview.pending,Pending,待处理,
translations.ts,PBCView Page,pbcview.overdue,Overdue,逾期,
translations.ts,PBCView Page,pbcview.overdueDays,{n} days overdue,逾期 {n} 天,
translations.ts,PBCView Page,pbcview.generatePBC,AI Generate PBC List,AI 生成 PBC 清单,
translations.ts,PBCView Page,pbcview.generateInterviewOutline,Generate Interview Outline,生成访谈提纲,
translations.ts,PBCView Page,pbcview.standardLibrary,Industry Standards,行业标准库,
translations.ts,PBCView Page,pbcview.selectControlDomain,Control Domain,控制域选择,
translations.ts,PBCView Page,pbcview.searchPBC,Search PBC...,搜索 PBC...,
translations.ts,PBCView Page,pbcview.filterAll,All,全部,
translations.ts,PBCView Page,pbcview.filterByStatus,Filter by Status,按状态筛选,
translations.ts,PBCView Page,pbcview.progressByControl,Progress by Control,按控制点进度,
translations.ts,PBCView Page,pbcview.overdueAlert,"{n} PBC items overdue, longest {d} days","{n} 项 PBC 已逾期，最长逾期 {d} 天",
translations.ts,PBCView Page,pbcview.viewOverdueList,View Overdue List,查看逾期清单,
translations.ts,PBCView Page,pbcview.generateReminderEmail,Generate Reminder Email Draft,一键生成催办邮件草稿,
translations.ts,PBCView Page,pbcview.emailDraft,Reminder Email Draft,催办邮件草稿,
translations.ts,PBCView Page,pbcview.emailTo,To,收件人,
translations.ts,PBCView Page,pbcview.emailSubject,Subject,主题,
translations.ts,PBCView Page,pbcview.emailBody,Body,正文,
translations.ts,PBCView Page,pbcview.copyToClipboard,Copy to Clipboard,复制到剪贴板,
translations.ts,PBCView Page,pbcview.send,Send,发送,
translations.ts,PBCView Page,pbcview.interviewOutline,Interview Outline,访谈提纲,
translations.ts,NarrativeLens Page,narrative.title,NarrativeLens Audit Narrative Generator,NarrativeLens 审计叙事生成器,
translations.ts,NarrativeLens Page,narrative.subtitle,"AI Deep Analysis | Audience Adaptation | Fact/Judgment Layering | Root Cause Analysis",AI 深度分析 | 受众适配 | 事实/判断分层 | 根因分析,
translations.ts,NarrativeLens Page,narrative.audience,Target Audience,目标受众,
translations.ts,NarrativeLens Page,narrative.audienceCFO,"CFO (Financial Impact + Strategy)",CFO（财务影响+战略建议）,
translations.ts,NarrativeLens Page,narrative.audienceInternalAudit,"Internal Audit (Technical + COSO)",内审团队（技术细节+COSO映射）,
translations.ts,NarrativeLens Page,narrative.audienceIT,"IT Team (System Improvement)",IT团队（系统改进方案）,
translations.ts,NarrativeLens Page,narrative.topic,Topic,沟通主题,
translations.ts,NarrativeLens Page,narrative.topicPlaceholder,"e.g., Personal Loan ICFR Audit Findings",例如：个贷业务 ICFR 审计发现,
translations.ts,NarrativeLens Page,narrative.findings,Audit Findings,审计发现,
translations.ts,NarrativeLens Page,narrative.addFinding,Add Finding,添加发现,
translations.ts,NarrativeLens Page,narrative.generate,Generate Narrative,生成叙事,
translations.ts,NarrativeLens Page,narrative.generating,AI is generating narrative...,AI 正在生成叙事...,
translations.ts,NarrativeLens Page,narrative.keyPoints,Key Points,关键发现,
translations.ts,NarrativeLens Page,narrative.factLabel,FACT,事实,
translations.ts,NarrativeLens Page,narrative.judgmentLabel,JUDGMENT,判断,
translations.ts,NarrativeLens Page,narrative.suggestionLabel,SUGGESTION,建议,
translations.ts,NarrativeLens Page,narrative.edit,Edit,编辑,
translations.ts,NarrativeLens Page,narrative.saveDraft,Save Draft,保存草稿,
translations.ts,NarrativeLens Page,narrative.approvalFlow,Approval Flow,审批流程,
translations.ts,NarrativeLens Page,narrative.aiScreening,AI Screening,AI 初筛,
translations.ts,NarrativeLens Page,narrative.managerApproval,Audit Manager Approval,审计经理审批,
translations.ts,NarrativeLens Page,narrative.partnerQC,Partner QC Review,合伙人 QC 复核,
translations.ts,NarrativeLens Page,narrative.submitForApproval,Submit for Approval,提交审批,
translations.ts,NarrativeLens Page,narrative.publishToClient,Publish to Client,发布至客户可见,
translations.ts,NarrativeLens Page,narrative.done,Done,完成,
translations.ts,Sampling Components,sampling.paramAdjust,Parameter Adjustment,参数调整,
translations.ts,Sampling Components,sampling.riskThreshold,Risk Threshold,风险阈值,
translations.ts,Sampling Components,sampling.confidenceLevel,Confidence Level,置信水平,
translations.ts,Sampling Components,sampling.selectConfidence,Select confidence level,选择置信水平,
translations.ts,Sampling Components,sampling.elevatedCoeff,Elevated Coefficient,升高系数,
translations.ts,Sampling Components,sampling.calculating,Calculating...,计算中...,
translations.ts,Sampling Components,sampling.recalculate,Recalculate,重新计算,
translations.ts,Sampling Components,sampling.aiRecommendedRange,AI Recommended Sample Range,AI推荐样本量范围,
translations.ts,Sampling Components,sampling.median,Median,中位数,
translations.ts,Sampling Components,sampling.confidence,Confidence,置信度,
translations.ts,Sampling Components,sampling.vsLastPeriod,vs Last Period,vs 上期,
translations.ts,Sampling Components,sampling.txns,txns,笔,
translations.ts,Sampling Components,sampling.timeWindowDist,Time Window Distribution,时间窗口分布,
translations.ts,Sampling Components,sampling.docTypeDist,Document Type Distribution,文档类型分布,
translations.ts,Sampling Components,sampling.historicalTrend,Historical Sampling Trend,历史抽样趋势,
translations.ts,Sampling Components,sampling.sampleSize,Sample Size,样本量,
translations.ts,Sampling Components,sampling.actual,Actual,实际,
translations.ts,Sampling Components,sampling.aiPrediction,AI Prediction,AI预测,
translations.ts,Sampling Components,sampling.aiLogic,AI Sampling Logic,AI 抽样逻辑,
translations.ts,Sampling Components,sampling.logicStep1,Determine base sample size based on control activity type,基于控制活动类型确定基础样本量,
translations.ts,Sampling Components,sampling.logicStep2,"Frequency factor adjustment (Daily×1.2 / Monthly×1.0 / Quarterly×0.8)",运行频次因子调整（日常×1.2 / 月度×1.0 / 季度×0.8）,
translations.ts,Sampling Components,sampling.logicStep3,Prior year deficiency additional sampling (+15%),上年缺陷追加抽样（+15%）,
translations.ts,Sampling Components,sampling.logicStep4,"Time stratification strategy (recent weight 1.5)",时间分层策略（近期权重1.5）,
translations.ts,Sampling Components,sampling.expandDetails,Expand technical details →,展开技术细节 →,
translations.ts,Sampling Components,sampling.askAuditor,Ask the auditor →,向审计师提问 →,
translations.ts,Sampling Components,sampling.sampleList,Sample List,样本清单,
translations.ts,Sampling Components,sampling.filter,Filter:,筛选:,
translations.ts,Sampling Components,sampling.pbcCode,PBC Code,PBC编号,
translations.ts,Sampling Components,sampling.docName,Document Name,文档名称,
translations.ts,Sampling Components,sampling.type,Type,类型,
translations.ts,Sampling Components,sampling.status,Status,状态,
translations.ts,Sampling Components,sampling.assignee,Assignee,负责人,
translations.ts,Sampling Components,sampling.total,Total,共,
translations.ts,Sampling Components,sampling.items,"items, Page",条，第,
translations.ts,Sampling Components,sampling.page,,页,
translations.ts,Sampling Components,sampling.prevPage,Previous,上一页,
translations.ts,Sampling Components,sampling.nextPage,Next,下一页,
translations.ts,Sampling Components,sampling.approved,Approved,已审核,
translations.ts,Sampling Components,sampling.submitted,Submitted,已提交,
translations.ts,Sampling Components,sampling.pending,Pending,待处理,
translations.ts,Sampling Components,sampling.overdueStatus,Overdue,已逾期,
translations.ts,Sampling Methodology,sampling.methodology.title,Sampling Methodology,抽样方法论,
translations.ts,Sampling Methodology,sampling.methodology.collapseDetails,← Collapse details,← 收起详情,
translations.ts,Sampling Methodology,sampling.methodology.tabFactors,Basis Factors,依据因素,
translations.ts,Sampling Methodology,sampling.methodology.tabFormula,Calculation Formula,计算公式,
translations.ts,Sampling Methodology,sampling.methodology.tabAILogic,AI Recommendation Logic,AI推荐逻辑,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.populationSize,Population Size,总体规模,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.populationSizeDesc,"Total transaction volume during the audit period. Larger populations require proportionally larger samples to maintain statistical validity.",审计期间交易总量。总体越大，需要按比例增加样本量以保证统计有效性。,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.populationSizeImpact,Larger population → increased sample size,总体越大 → 样本量增加,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.riskScore,Risk Score,风险评分,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.riskScoreDesc,"RAWTC risk rating on a 1-10 scale. Higher risk scores require deeper sampling to provide sufficient audit evidence.",RAWTC 风险评级（1-10分）。风险评分越高，需要更深入的抽样以提供充分的审计证据。,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.riskScoreImpact,Higher risk → increased sample size,风险越高 → 样本量增加,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.confidenceLevel,Confidence Level,置信水平,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.confidenceLevelDesc,"90% = acceptable assurance; 92% = enhanced assurance; 95% = standard high assurance; 99% = maximum assurance for critical controls.",90% = 可接受保证；92% = 增强保证；95% = 标准高保证；99% = 关键控制最高保证。,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.confidenceLevelImpact,Higher confidence → increased sample size,置信度越高 → 样本量增加,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.priorDeficiency,Prior Year Deficiency,上年缺陷,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.priorDeficiencyDesc,"Deficiencies found in prior periods trigger additional sampling to verify whether issues have been remediated effectively.",前期发现的缺陷会触发追加抽样，以验证问题是否已有效整改。,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.priorDeficiencyImpact,Deficiency found → increased sample size,存在缺陷 → 样本量增加,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.systemChanges,System Changes,系统变更,
translations.ts,Sampling Methodology - Factors,sampling.methodology.factor.systemChangesDesc,"IT system changes during the audit period may affect control effectiveness, requiring additional samples to validate post-change controls.",审计期间 IT 系统变更可能影响控制有效性，需追加样本以验证变更后的控制。,
